activity,alpha,beta,gamma,stamp,x,y,z
Resting,0.0,0.0,0.0,1570374923766,0.0,0.0,0.0
Resting,0.0883006826043129,-0.22031457722187042,-0.09442053735256195,1570374923821,-0.0028885602951049805,0.022907912731170654,0.5149431228637695
Resting,0.8585274815559387,0.6189790368080139,-0.2343028038740158,1570374924290,0.026472337543964386,0.005218476057052612,0.05451774597167969
Resting,0.36893948912620544,0.12851683795452118,-0.37418508529663086,1570374924228,-5.640089511871338e-05,-0.016998857259750366,0.05760383605957031
Resting,-0.05158158764243126,-0.7807179689407349,-0.09442053735256195,1570374924083,0.006809741258621216,0.012668043375015259,0.02003002166748047
Resting,0.7885863184928894,-0.0113654350861907,0.04633600264787674,1570374924186,0.016333334147930145,-0.04191148281097412,0.046790122985839844
Resting,0.5787628889083862,-0.3610711097717285,-0.09442053735256195,1570374924133,-0.009587831795215607,-0.012702316045761108,0.07294178009033203
Resting,0.7186451554298401,-0.15124770998954773,0.2561594247817993,1570374924026,0.011143825948238373,0.013468623161315918,0.06540584564208984
Resting,0.5787628889083862,0.47909680008888245,-0.023605134338140488,1570374923880,-0.006762653589248657,0.002136796712875366,0.13769054412841797
Resting,0.0883006826043129,-0.3610711097717285,0.04633600264787674,1570374923927,0.006526976823806763,-0.0028685033321380615,0.0906839370727539
Resting,1.418056607246399,-0.08043231070041656,0.04633600264787674,1570374923980,-0.009648770093917847,-0.007301747798919678,0.09803199768066406
Resting,0.4388806223869324,0.26839911937713623,-0.09442053735256195,1570374924440,0.03858698904514313,-0.0371055006980896,0.032944679260253906
Resting,-0.4712284207344055,-0.0113654350861907,-0.16348740458488464,1570374924390,-0.016986161470413208,-0.018163174390792847,0.049492835998535156
Resting,1.4888719320297241,-0.0113654350861907,-0.09442053735256195,1570374924341,0.03055819869041443,-0.006982564926147461,0.019547462463378906
Resting,0.5088217854499817,0.12851683795452118,-0.37418508529663086,1570374924538,0.02979409694671631,-0.03509688377380371,0.016338348388671875
Resting,0.7885863184928894,0.3392145037651062,-0.2343028038740158,1570374924491,-0.0004814267158508301,-0.0022414028644561768,0.03812217712402344
Resting,-0.26140499114990234,-0.0113654350861907,-0.3033696711063385,1570374924580,0.005468696355819702,-0.025566816329956055,0.034442901611328125
Resting,0.22818295657634735,0.26839911937713623,-0.16348740458488464,1570374924627,0.029989242553710938,-0.02072906494140625,0.038054466247558594
Resting,1.2781742811203003,0.12851683795452118,0.04633600264787674,1570374924671,0.0002520531415939331,-0.018018603324890137,0.041939735412597656
Resting,-0.05158158764243126,-0.5009533762931824,-0.2343028038740158,1570374924722,0.021871909499168396,-0.013967156410217285,0.04730987548828125
Resting,1.4888719320297241,0.12851683795452118,0.3269748091697693,1570374924769,0.02304394543170929,-0.007197350263595581,0.015160560607910156
Resting,0.15911608934402466,-0.15124770998954773,-0.37418508529663086,1570374924810,-0.0031165629625320435,-0.011043936014175415,0.026142120361328125
Resting,-0.26140499114990234,0.19933223724365234,-0.16348740458488464,1570374925546,0.01514524221420288,-0.038021206855773926,0.01591968536376953
Resting,0.5787628889083862,-0.8506590723991394,0.11627714335918427,1570374925413,-0.0013621896505355835,-0.01659652590751648,0.010578155517578125
Resting,-0.19146385788917542,0.19933223724365234,-0.2343028038740158,1570374925455,0.015454500913619995,-0.01975274085998535,0.025943756103515625
Resting,0.22818295657634735,-0.15124770998954773,-0.16348740458488464,1570374925072,0.025428473949432373,-0.014660269021987915,0.042410850524902344
Resting,0.019233813509345055,0.4091556668281555,0.11627714335918427,1570374925505,0.017013177275657654,0.0032185614109039307,0.03553581237792969
Resting,0.15911608934402466,0.12851683795452118,-0.3033696711063385,1570374925297,0.020628854632377625,-0.018161624670028687,0.01958942413330078
Resting,0.019233813509345055,0.05944996699690819,-0.023605134338140488,1570374924906,0.0077131688594818115,-0.009801745414733887,0.03482341766357422
Resting,0.019233813509345055,0.19933223724365234,0.11627714335918427,1570374924859,0.03565672039985657,-0.05762070417404175,0.014745712280273438
Resting,0.2989983558654785,1.1094412803649902,0.11627714335918427,1570374925120,0.012201234698295593,-0.03160235285758972,0.009641647338867188
Resting,0.5088217854499817,0.47909680008888245,0.3269748091697693,1570374925207,0.0311766117811203,0.006782621145248413,0.015499114990234375
Resting,0.019233813509345055,0.05944996699690819,-0.2343028038740158,1570374924956,0.024009913206100464,-0.005127578973770142,0.051909446716308594
Resting,0.7885863184928894,0.05944996699690819,-0.16348740458488464,1570374925361,-0.007477283477783203,-0.016952693462371826,0.0023984909057617188
Resting,0.2989983558654785,0.6189790368080139,-0.16348740458488464,1570374925248,0.0011129230260849,-0.01894339919090271,0.019090652465820312
Resting,-0.05158158764243126,-0.08043231070041656,-0.16348740458488464,1570374925165,0.04451954364776611,-0.040671855211257935,0.026640892028808594
Resting,1.0692251920700073,0.6189790368080139,-0.09442053735256195,1570374925019,0.01316864788532257,-0.025069594383239746,0.02975177764892578
Resting,0.0883006826043129,0.05944996699690819,-0.2343028038740158,1570374925590,0.00864371657371521,-0.0032327473163604736,0.040673255920410156
Resting,0.5787628889083862,0.05944996699690819,-0.023605134338140488,1570374925636,0.022917166352272034,-0.015468984842300415,0.025038719177246094
Resting,0.7186451554298401,0.5490379333496094,-0.09442053735256195,1570374925951,0.02787657082080841,-0.02796834707260132,0.004593849182128906
Resting,0.019233813509345055,0.4091556668281555,-0.023605134338140488,1570374926040,0.008742183446884155,-0.006702244281768799,0.042098045349121094
Resting,0.5787628889083862,0.05944996699690819,-0.023605134338140488,1570374925734,-0.017039671540260315,-0.026014089584350586,0.052234649658203125
